stock,sector,sub_sector,earnings_date,is_large_reaction,is_extreme_reaction,hist_extreme_prob,global_hist_prob,current_lift_vs_baseline,current_lift_vs_same_bucket_global,extreme_count,risk_level,risk_score,base_extreme_prob
A,Health Care,Life Sciences Tools & Services,2025-02-26,1,0,0.091,0.091,0.786,1.0,740.0,High,85.0,0.116
A,Health Care,Life Sciences Tools & Services,2025-05-28,0,0,0.091,0.091,0.786,1.0,740.0,High,77.0,0.116
A,Health Care,Life Sciences Tools & Services,2025-08-27,1,0,0.091,0.091,0.786,1.0,740.0,High,81.0,0.116
A,Health Care,Life Sciences Tools & Services,2025-11-24,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,88.0,0.116
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-01-30,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-05-01,1,0,0.052,0.052,0.449,1.0,423.0,Low,60.0,0.116
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-07-31,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",2025-10-30,0,0,0.251,0.251,2.163,1.0,2036.0,Extreme,91.0,0.116
ABBV,Health Care,Biotechnology,2025-01-31,0,0,0.052,0.052,0.449,1.0,423.0,Low,62.0,0.116
ABBV,Health Care,Biotechnology,2025-04-25,0,0,0.105,0.105,0.907,1.0,854.0,Very Low,46.0,0.116
ABBV,Health Care,Biotechnology,2025-07-31,1,0,0.052,0.052,0.449,1.0,423.0,Low,64.0,0.116
ABBV,Health Care,Biotechnology,2025-11-05,0,0,0.052,0.052,0.449,1.0,423.0,Low,54.0,0.116
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-02-13,1,1,0.251,0.251,2.163,1.0,2036.0,Extreme,92.0,0.116
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",2025-05-01,0,0,0.049,0.049,0.42,1.0,395.0,Moderate,74.0,0.116
